video_id,item_type,upload_type,first_level_category_name,second_level_category_name,third_level_category_name,fourth_level_category_name
47848,0,14,2,145,3,32
47843,0,14,13,127,284,32
55007,0,29,21,65,89,32
6978,0,14,21,78,257,27
5102,0,29,9,107,284,32
69220,0,7,17,143,284,32
7605,0,24,34,69,122,32
49195,0,14,17,206,284,32
39612,0,29,9,107,284,32
43081,0,29,12,206,284,32
59749,0,29,7,206,284,32
4865,0,29,32,187,353,32
8825,0,29,21,48,284,32
9828,0,29,16,170,284,32
55937,0,29,24,206,284,32
55941,0,29,26,123,284,32
22467,0,29,17,222,284,32
27784,0,7,2,145,3,32
15105,0,7,29,68,217,32
64081,0,24,21,48,284,32
20566,0,29,10,184,284,32
9779,0,14,24,206,284,32
7533,0,24,9,200,123,32
6987,0,29,21,78,257,38
49683,0,24,26,106,284,32
38044,0,29,9,200,123,32
49042,0,14,27,280,284,32
55016,0,14,21,42,284,32
1699,0,14,17,206,284,32
6953,0,14,27,236,383,32
35707,0,14,17,221,284,32
15453,0,24,24,206,284,32
49675,0,14,26,223,284,32
49287,0,29,9,107,284,32
48066,0,29,7,206,284,32
274,0,29,13,127,284,32
3547,0,29,9,107,284,32
9771,0,29,21,65,89,32
55017,0,7,21,65,89,32
15984,1,28,1,12,284,32
59739,0,29,30,71,284,32
6732,0,14,22,113,284,32
22223,0,29,1,54,384,32
6802,0,14,13,127,284,32
36940,0,29,1,54,131,32
59759,0,14,17,143,284,32
22450,0,29,13,127,284,32
59746,0,14,31,202,281,32
55943,0,14,27,206,284,32
43089,0,14,9,107,284,32
54512,0,14,2,206,284,32
34626,0,23,15,206,284,32
6989,1,28,13,127,284,32
51993,0,29,2,145,3,32
65142,0,7,12,219,291,32
63559,0,29,21,65,89,32
9688,0,29,1,54,131,32
57709,0,14,25,131,195,32
63582,0,29,21,65,89,32
9692,0,14,24,206,284,32
64080,0,14,1,54,384,32
65784,0,29,21,65,284,32
43248,0,29,9,200,284,32
3658,0,14,32,36,46,32
28167,0,29,1,54,384,32
65795,0,7,1,54,384,32
58507,0,7,22,191,284,32
43515,0,7,34,7,84,32
46328,0,14,17,221,284,32
54998,0,14,21,65,89,32
26435,0,14,5,90,252,32
26490,0,29,9,200,284,32
55012,0,14,21,65,89,32
11262,0,14,12,219,163,32
26461,0,14,13,127,284,32
3258,0,29,9,200,153,32
46348,0,29,17,221,284,32
40198,0,14,33,139,284,32
3688,0,14,32,126,205,32
7528,0,14,30,206,284,32
61302,0,14,21,65,89,32
6717,0,29,1,206,284,32
48064,0,24,32,187,294,32
18982,0,14,32,187,294,32
58518,0,13,9,200,25,32
1128,0,24,35,99,284,32
9764,0,29,21,166,156,32
26463,0,7,9,107,284,32
19579,0,14,23,89,284,32
9817,0,29,21,65,89,32
18994,0,29,1,54,384,32
9776,0,19,13,127,284,32
24698,0,14,1,54,384,32
22039,0,14,27,236,391,32
3687,0,24,25,131,110,32
49185,0,14,9,107,284,32
16566,0,29,17,143,284,32
40916,0,14,27,236,391,32
1673,0,29,9,206,284,32
15103,0,29,3,31,51,32
47809,0,29,24,206,284,32
6813,0,24,35,224,284,32
36214,0,24,12,219,284,32
22478,0,14,17,206,284,32
49288,0,24,2,145,3,32
46352,0,29,12,206,284,32
7009,0,29,21,78,257,8
55000,0,29,9,107,284,32
42158,0,14,9,200,123,32
12677,0,29,21,149,284,32
62318,0,29,25,131,387,32
49674,0,14,9,200,123,32
8804,0,14,13,127,284,32
46691,0,7,32,126,354,32
39452,0,24,34,69,122,32
64812,0,29,29,272,130,32
26797,0,29,17,221,284,32
59117,0,7,2,243,258,4
47829,0,7,9,107,284,32
64133,0,14,24,206,284,32
15783,0,14,9,107,284,32
3627,0,24,32,195,284,32
69426,0,14,22,113,284,32
57253,0,29,21,65,89,32
51998,0,14,33,139,284,32
49289,0,29,15,260,185,32
18990,0,14,21,48,244,32
22469,0,29,24,206,284,32
26476,0,14,21,23,284,32
44231,0,14,21,206,284,32
59733,0,14,25,131,387,32
4881,0,29,21,65,89,32
11282,0,14,27,206,284,32
44024,0,29,1,54,384,32
33161,0,14,21,65,89,32
55019,0,29,21,65,89,32
44015,0,14,13,127,284,32
69430,0,14,1,54,384,32
36216,0,14,5,90,119,32
55014,0,14,9,107,284,32
43237,0,14,9,200,373,32
9778,0,7,13,127,284,32
42074,0,29,9,107,284,32
23892,0,14,13,127,284,32
6872,0,14,24,206,284,32
54517,0,14,12,206,284,32
55021,0,29,11,92,184,32
28162,0,14,9,107,284,32
43232,0,14,13,127,284,32
18898,0,14,13,127,284,32
35657,0,29,3,31,58,32
7544,0,29,24,206,284,32
5096,0,14,13,127,284,32
12685,0,29,24,206,284,32
49687,0,14,13,206,284,32
34389,0,24,17,206,284,32
64095,0,29,21,166,156,32
47555,0,24,35,224,284,32
6999,0,14,21,78,257,32
54521,0,29,24,206,284,32
33163,0,29,9,107,284,32
18974,0,29,1,54,384,32
46342,0,29,22,153,284,32
65772,0,29,1,12,284,32
28806,0,29,9,107,284,32
36942,0,14,1,54,384,32
58503,0,13,13,127,284,32
47792,0,29,27,280,284,32
47821,0,14,17,206,284,32
34624,0,14,9,200,204,32
11260,0,29,17,206,284,32
46341,0,14,17,143,284,32
59760,0,29,27,280,284,32
43265,0,14,1,54,384,32
58504,0,13,34,69,122,32
276,0,29,13,112,284,32
46339,0,14,9,107,284,32
54519,0,29,27,236,284,32
63551,0,29,21,65,89,32
6787,0,14,22,113,284,32
23888,0,29,27,236,391,32
44023,0,29,9,107,284,32
65792,0,29,21,166,156,32
62694,0,29,22,13,284,32
43253,0,29,13,127,284,32
43241,0,14,17,206,284,32
28223,0,14,21,48,284,32
52083,0,7,21,78,257,15
49301,0,29,9,107,284,32
28385,0,29,1,54,131,32
9725,0,24,24,206,284,32
6828,0,14,35,99,284,32
42073,0,24,35,224,284,32
51989,0,29,9,107,284,32
11268,0,24,17,143,284,32
59755,0,29,24,206,284,32
38048,0,14,1,54,77,32
36923,0,29,21,65,284,32
22319,0,29,1,12,284,32
49734,0,14,36,205,159,32
66912,0,7,12,256,166,32
3678,0,24,32,195,284,32
62695,0,29,9,107,284,32
36929,1,28,4,206,284,32
7666,0,7,34,206,284,32
12721,0,29,21,78,257,32
9729,0,14,5,90,251,32
65774,0,7,21,65,284,32
55013,0,29,9,107,284,32
36926,0,14,31,206,284,32
46699,0,14,1,54,131,32
36934,0,29,4,206,284,32
58497,0,23,24,206,284,32
66884,0,7,13,127,284,32
47814,0,14,27,180,390,32
15777,0,14,12,121,284,32
58496,0,7,13,127,284,32
49297,0,14,9,200,284,32
22485,0,14,13,127,284,32
65779,0,14,17,206,284,32
64122,0,14,27,206,284,32
36931,0,14,12,219,94,32
47797,0,29,17,206,284,32
25910,0,29,9,200,284,32
66874,0,7,24,206,284,32
65263,0,14,7,0,284,32
21294,0,24,21,166,156,32
43238,0,29,9,200,284,32
28380,0,14,31,202,284,32
21361,0,24,32,187,353,32
49041,0,14,9,200,284,32
28225,0,29,23,206,284,32
35650,0,14,21,149,4,32
44021,0,14,34,7,377,32
40919,0,14,23,81,284,32
52076,0,29,21,78,257,32
20560,0,14,17,143,284,32
36938,0,14,13,127,284,32
12681,0,14,9,107,284,32
59769,0,29,24,206,284,32
28163,0,29,9,107,284,32
64814,0,14,1,54,131,32
7012,0,24,13,127,284,32
54995,0,14,24,206,284,32
3671,0,7,32,36,284,32
5082,0,15,25,131,284,32
28158,0,29,9,107,284,32
6780,0,14,9,200,284,32
31897,0,14,13,127,284,32
21292,0,24,32,254,356,32
11267,0,14,35,206,284,32
5109,0,14,9,200,123,32
23894,0,14,21,78,257,32
46697,0,14,24,206,284,32
16816,0,29,24,206,284,32
6734,0,14,10,273,284,32
43234,0,29,13,127,284,32
39316,0,14,1,54,384,32
30843,0,14,27,280,284,32
6924,0,14,9,200,204,32
3239,0,14,28,119,284,32
7614,0,14,29,272,96,32
42076,0,7,10,37,284,32
6977,0,14,13,127,284,32
66870,0,14,22,85,301,32
18908,0,7,9,107,284,32
6829,0,29,26,106,284,32
55008,0,29,27,180,332,32
39306,0,29,27,64,284,32
21304,0,14,4,206,284,32
59767,0,14,13,127,284,32
22399,0,29,21,78,257,8
64099,0,29,3,199,18,32
6758,0,14,17,222,284,32
43235,0,14,5,182,284,32
65785,0,29,24,206,284,32
1702,0,29,21,166,156,32
51986,0,7,21,214,284,32
49688,0,14,17,206,284,32
69435,1,28,17,206,284,32
42075,0,7,9,107,284,32
7011,0,29,21,78,257,32
24237,0,7,22,206,284,32
28804,0,14,9,200,204,32
62682,0,14,21,42,49,32
63584,0,14,21,65,89,32
12687,1,28,21,78,257,14
22040,0,29,9,107,284,32
11216,0,24,21,65,89,32
8636,0,29,9,107,284,32
24738,0,29,1,54,384,32
35639,0,24,17,221,284,32
36939,0,29,21,6,284,32
49192,0,7,9,107,284,32
26467,0,29,13,127,284,32
69424,0,7,10,5,284,32
23893,0,14,13,127,284,32
44018,0,29,1,54,384,32
5090,0,29,2,243,258,29
9811,0,14,21,65,89,32
9785,0,14,21,65,89,32
9723,0,14,22,153,284,32
36213,0,14,13,127,284,32
20597,0,24,34,206,284,32
11276,0,7,1,54,384,32
22041,0,29,26,106,284,32
3702,0,7,32,267,284,32
49191,0,14,9,200,284,32
8817,0,14,21,48,284,32
33158,0,7,6,59,20,9
15994,0,24,1,12,284,32
58517,0,14,13,127,284,32
64073,0,14,21,38,284,32
39332,0,14,12,219,284,32
11215,0,29,19,162,284,32
43082,0,14,24,206,284,32
7574,0,29,34,277,284,32
12684,0,14,21,65,89,32
52002,0,24,2,206,284,32
27785,0,7,2,145,3,32
34623,0,14,12,206,284,32
62328,0,14,2,206,284,32
62677,0,29,21,78,257,32
52007,0,7,23,81,284,32
54999,0,29,31,202,281,32
45706,0,14,5,90,252,32
65125,0,24,12,219,284,32
59729,0,14,9,107,284,32
18910,0,14,9,107,284,32
62683,0,29,9,107,284,32
36941,0,14,24,206,284,32
18886,0,29,21,78,257,27
16567,0,22,9,206,284,32
40203,0,24,20,206,284,32
49278,0,14,27,206,284,32
52079,0,29,21,78,257,14
22463,0,14,17,143,284,32
26459,0,7,12,121,259,32
17696,0,29,26,106,284,32
6877,0,29,2,206,284,32
40197,0,14,27,236,391,32
44035,0,29,21,166,368,32
21503,0,29,36,205,159,32
65771,0,29,7,206,284,32
27775,0,24,13,127,284,32
16561,0,29,17,206,284,32
66903,0,14,2,145,0,32
35649,0,14,12,121,296,32
44025,0,29,21,166,156,32
54992,0,14,21,206,284,32
46347,0,22,17,221,284,32
64820,0,29,17,143,284,32
49285,0,29,17,143,284,32
47791,0,28,17,206,284,32
9766,0,14,13,127,284,32
65777,0,14,6,206,284,32
33165,0,14,24,206,284,32
64055,0,14,27,206,284,32
49043,0,14,31,202,281,32
64070,0,14,24,206,284,32
3637,0,24,32,195,284,32
59116,0,7,27,268,284,32
19576,0,14,21,65,89,32
26456,0,14,13,127,284,32
10703,0,14,27,236,248,32
43258,0,29,5,90,251,32
59743,0,29,34,69,284,32
40155,0,24,35,206,284,32
3721,0,29,13,127,284,32
11217,0,29,17,206,284,32
49281,0,7,1,178,344,32
40925,0,29,21,166,156,32
64087,0,29,21,48,284,32
57521,0,14,21,48,284,32
15981,0,14,17,206,284,32
64805,0,14,10,184,284,32
26479,0,14,12,8,284,32
3231,0,14,12,121,157,32
6875,0,14,25,131,387,32
49695,0,14,17,206,284,32
15995,0,29,1,54,131,32
59047,1,28,24,206,284,32
29847,0,14,9,200,284,32
21495,0,24,31,202,191,32
64115,0,29,27,180,332,32
23887,0,14,13,127,284,32
52078,0,24,13,127,284,32
9740,1,28,21,166,156,32
21302,0,29,13,127,284,32
19958,0,22,24,206,284,32
16811,0,14,21,78,257,27
6825,0,14,34,69,122,32
36925,0,14,1,54,131,32
51992,0,24,36,205,159,32
3247,0,19,17,143,284,32
64817,0,29,32,36,44,32
36215,0,14,13,127,284,32
65228,0,7,12,121,306,32
12720,0,29,21,149,284,32
34385,0,29,17,221,284,32
46343,0,29,14,206,284,32
5100,1,28,9,200,284,32
47834,0,24,32,187,294,32
43080,0,7,12,121,284,32
59765,0,14,24,206,284,32
46345,0,14,26,223,284,32
3639,0,7,32,187,294,32
47707,0,29,27,280,284,32
43098,0,14,13,127,284,32
40922,0,29,21,166,156,32
64063,0,14,22,189,284,32
6949,0,14,9,200,284,32
11007,0,14,12,206,284,32
68453,0,24,13,127,284,32
22233,0,14,24,206,284,32
15996,0,14,1,54,384,32
3686,0,29,32,267,284,32
48065,0,24,22,113,284,32
23891,0,14,13,127,284,32
6805,0,14,17,206,284,32
15993,0,14,24,206,284,32
26446,0,14,19,206,284,32
8635,0,14,24,206,284,32
64100,0,29,17,206,284,32
9790,0,14,21,65,89,32
69423,0,24,14,146,284,32
16820,0,29,5,206,284,32
44040,0,14,24,206,284,32
52001,0,14,32,148,361,32
1096,0,7,9,107,284,32
4873,0,14,32,187,353,32
64119,0,29,27,206,284,32
1163,0,14,32,36,46,32
5112,0,29,24,206,284,32
36937,0,29,21,6,284,32
63555,0,29,21,65,89,32
8634,0,14,9,200,284,32
55006,0,29,17,143,284,32
36927,0,29,21,166,156,32
11219,0,7,13,130,284,32
20568,0,29,9,107,284,32
8808,0,29,21,65,89,32
54991,0,14,17,221,284,32
6804,0,14,9,200,204,32
3309,1,28,15,135,284,32
8601,0,29,34,206,284,32
47897,0,14,15,239,284,32
2351,0,14,2,243,186,32
46335,0,14,13,206,284,32
59758,0,14,27,237,284,32
17983,0,29,29,68,217,32
6895,0,14,5,90,120,44
22480,0,29,13,127,284,32
7582,0,7,34,69,322,32
65533,0,14,9,107,284,32
4867,0,14,17,143,284,32
3320,0,29,9,107,284,32
55009,1,28,6,206,284,32
34374,0,14,32,267,284,32
8807,0,7,13,130,284,32
3690,0,7,32,126,174,32
36928,0,29,1,54,384,32
24687,0,29,21,206,284,32
59738,0,29,27,280,284,32
36922,0,29,21,149,284,32
65532,0,29,13,127,284,32
9810,0,29,1,54,131,32
42033,0,14,28,206,284,32
49303,0,14,9,200,123,32
6808,0,14,9,200,123,32
48142,0,14,9,200,284,32
43092,0,29,17,143,284,32
3497,0,22,9,107,284,32
49044,0,14,19,193,284,32
49186,0,29,2,206,284,32
12695,0,14,21,206,284,32
34388,0,29,5,90,251,32
6874,0,14,26,223,284,32
18877,0,14,21,206,284,32
26796,0,14,17,143,284,32
22477,0,14,9,107,284,32
64064,0,24,29,272,130,32
6833,0,14,34,69,122,32
18885,0,14,13,127,284,32
65256,0,15,22,206,284,32
4878,0,29,21,65,89,32
55002,0,29,16,77,284,32
49292,0,14,1,54,384,32
15465,0,29,13,127,284,32
9818,0,14,10,5,284,32
35572,0,29,9,107,284,32
61323,0,14,21,65,89,32
3322,1,28,17,143,284,32
64076,0,29,17,143,284,32
18495,0,14,13,127,284,32
64117,0,29,29,272,130,32
47842,0,14,9,200,204,32
19575,0,14,1,54,131,32
59768,0,29,17,143,284,32
64116,0,29,27,206,284,32
1118,0,29,9,200,284,32
51987,0,29,23,89,284,32
3521,0,14,9,107,284,32
59772,0,29,17,206,284,32
34613,0,14,13,127,284,32
26460,0,29,13,112,284,32
7002,1,28,21,78,257,15
43245,0,29,1,54,384,32
54014,0,7,34,69,284,32
24702,0,14,21,65,89,32
28157,0,29,1,54,384,32
12690,0,29,19,206,284,32
35632,0,14,21,23,284,32
26436,0,29,13,127,284,32
280,0,14,17,143,284,32
51982,0,14,23,206,284,32
63561,0,14,12,219,284,32
54510,0,14,22,113,284,32
28164,0,29,21,48,284,32
47810,0,14,12,219,284,32
49684,0,29,9,200,373,32
65794,0,29,21,65,284,32
55945,0,19,10,184,284,32
46334,0,14,9,200,284,32
59756,0,14,24,206,284,32
64816,0,29,31,202,281,32
52070,0,24,21,78,257,15
26464,0,7,9,107,284,32
43266,0,7,22,113,284,32
39172,0,7,9,107,284,32
52068,0,14,13,127,284,32
49046,0,14,21,78,257,15
44037,0,29,1,54,131,32
64112,0,29,21,48,284,32
64086,0,29,21,48,284,32
47827,0,14,27,236,284,32
16814,0,14,21,78,257,27
2381,0,29,30,206,284,32
16585,0,14,36,205,159,32
59754,0,29,9,206,284,32
59777,0,14,13,127,284,32
40924,0,29,9,107,284,32
11688,0,14,21,65,89,32
33167,0,14,13,127,284,32
64069,0,29,6,59,104,32
59042,0,14,13,127,284,32
35647,0,14,9,107,284,32
63571,0,7,21,65,89,32
46330,0,29,17,206,284,32
9793,0,14,13,127,284,32
64062,0,24,1,206,284,32
34387,0,29,9,107,284,32
64824,0,29,21,206,284,32
6941,0,14,34,69,122,32
28227,0,29,23,206,284,32
3660,0,24,35,224,284,32
59779,0,14,27,280,284,32
11690,0,29,23,89,284,32
16555,0,24,24,206,284,32
59776,0,14,13,127,284,32
48068,0,29,21,78,257,8
49188,0,29,9,107,284,32
65141,0,14,12,219,291,32
49194,0,7,22,62,284,32
62692,0,7,22,22,351,32
49307,0,29,15,260,328,32
22229,0,14,5,90,251,32
11010,0,14,2,145,3,32
278,0,14,32,126,354,32
63554,0,7,23,206,284,32
59775,0,14,25,131,387,32
18997,0,29,21,48,244,32
38047,0,14,17,206,284,32
68334,0,14,13,127,284,32
11278,0,29,9,107,284,32
59780,0,14,27,236,391,32
49694,0,29,26,206,284,32
12706,0,29,13,127,284,32
47779,0,29,27,181,284,32
63574,0,7,21,65,89,32
65540,0,14,13,127,284,32
63205,0,14,17,143,284,32
9736,0,14,24,206,284,32
48072,0,14,22,206,284,32
54579,0,14,34,69,122,32
68055,0,14,1,54,384,32
9760,0,14,21,65,89,32
8805,0,29,13,127,284,32
1677,0,29,9,107,284,32
6749,0,29,25,131,110,32
57522,0,14,21,48,284,32
22468,0,14,13,127,284,32
63558,0,14,21,65,89,32
49193,0,14,9,200,284,32
28218,0,28,1,54,384,32
34692,0,14,5,90,251,32
63476,0,29,13,127,284,32
29951,0,24,19,163,284,32
3672,0,14,32,36,46,32
62332,0,29,13,127,284,32
52074,0,29,21,78,257,32
29849,0,14,9,107,284,32
16466,0,29,5,185,284,32
28378,0,29,14,206,284,32
20262,0,14,13,127,284,32
16931,0,29,19,163,284,32
64060,0,14,17,206,284,32
38374,0,29,9,107,284,32
33429,0,14,34,69,284,32
57256,0,24,35,224,284,32
17220,0,14,13,127,284,32
32899,0,29,17,143,284,32
52059,0,14,27,236,391,32
27154,0,14,13,127,284,32
19651,1,28,9,200,204,32
8149,0,29,1,51,284,32
39611,0,14,13,206,284,32
24574,0,14,9,107,284,32
19972,0,7,27,236,391,32
1170,0,14,24,206,284,32
54027,0,14,34,206,284,32
6881,0,14,22,113,284,32
18631,0,14,9,200,123,32
12550,0,29,9,107,284,32
43584,0,24,28,58,284,32
13386,0,14,19,206,284,32
19667,0,24,22,113,284,32
4140,0,14,13,206,284,32
66801,0,7,17,206,284,32
3435,0,28,25,131,110,32
69152,0,14,9,107,284,32
20558,0,7,13,127,284,32
40279,0,14,33,197,284,32
14696,0,7,13,127,284,32
2729,0,29,32,36,45,32
49040,0,29,10,206,284,32
41161,1,28,1,10,220,32
43240,0,7,9,107,284,32
59796,0,7,13,206,284,32
3965,0,7,13,127,284,32
41237,0,14,24,206,284,32
17254,0,14,17,143,284,32
13205,0,14,13,127,284,32
50036,0,14,0,206,284,32
29589,0,14,1,206,284,32
62045,0,29,9,107,284,32
14802,0,14,9,200,284,32
25144,0,7,27,64,284,32
4348,0,14,9,107,284,32
54305,0,29,13,127,284,32
47037,0,14,17,206,284,32
29972,0,14,17,143,284,32
36962,0,24,5,185,284,32
61568,0,14,24,206,284,32
51735,0,24,9,200,284,32
15060,0,14,21,78,329,32
27401,0,24,13,127,284,32
33583,0,14,13,127,284,32
38162,0,14,34,69,284,32
37496,0,7,9,107,284,32
43243,0,29,9,200,153,32
22890,0,14,5,90,251,32
63076,0,7,21,65,89,32
69157,0,24,33,139,284,32
61055,0,7,1,54,131,32
14040,0,7,2,243,258,29
49059,0,7,13,206,284,32
28757,0,29,27,236,284,32
9851,0,29,10,184,284,32
30183,0,14,17,206,284,32
32111,0,14,13,130,284,32
23588,0,14,0,194,284,32
19598,0,7,9,107,284,32
48959,0,24,32,254,356,32
55329,0,14,9,200,25,32
39591,0,13,19,206,284,32
41193,0,14,9,107,284,32
34028,0,29,13,198,284,32
46669,0,7,21,78,257,32
38114,0,29,9,107,284,32
24359,0,29,21,78,257,8
44081,0,14,34,69,284,32
13811,1,28,21,23,284,32
46713,0,7,0,194,284,32
17216,0,29,27,236,391,32
35704,0,14,27,236,284,32
64093,0,24,1,12,284,32
59806,1,28,21,174,284,32
39588,0,29,5,270,254,32
59797,0,7,1,206,284,32
41164,0,14,17,222,284,32
2418,0,14,5,90,251,32
8144,0,14,23,89,284,32
33164,0,14,30,71,284,32
11142,0,14,22,22,376,32
52737,0,14,22,113,284,32
46644,0,14,22,189,284,32
63128,0,14,21,206,284,32
59792,0,7,21,149,284,32
60233,0,24,2,145,0,32
39587,0,29,13,127,284,32
59432,0,24,10,61,284,32
26196,0,24,32,36,46,32
59742,0,29,25,131,387,32
29679,0,14,9,107,284,32
6033,0,14,24,206,284,32
28861,0,7,25,206,284,32
2014,0,24,13,129,284,32
34292,0,7,13,206,284,32
11463,0,29,9,107,284,32
63164,1,28,21,65,89,32
19209,0,7,9,107,284,32
36632,0,29,32,195,284,32
61942,0,14,17,143,284,32
51975,0,29,13,127,284,32
30145,0,24,25,141,284,32
17896,0,24,32,187,86,32
53516,0,13,13,206,284,32
42087,0,14,22,113,284,32
20320,0,14,13,206,284,32
33235,0,24,27,236,248,32
3613,0,14,25,131,284,32
52412,0,14,21,78,257,32
56732,0,19,27,180,332,32
14739,0,7,11,92,184,32
67984,0,7,21,65,89,32
68330,0,14,21,42,11,32
54931,0,24,6,136,284,32
3746,0,29,27,236,284,32
50321,0,24,24,206,284,32
58208,0,29,2,145,3,32
3937,0,14,24,206,284,32
52608,0,14,27,236,391,32
13222,0,14,1,206,284,32
41989,0,14,12,219,163,32
64950,0,29,17,206,284,32
34198,0,24,3,31,321,32
24091,0,7,5,90,251,32
49941,0,7,34,69,122,32
57861,0,7,27,206,284,32
9229,0,24,12,206,284,32
35550,0,7,5,90,251,32
36245,0,13,2,206,284,32
44868,0,14,27,236,391,32
13194,0,14,1,54,131,32
65485,0,24,10,206,284,32
2857,0,14,9,200,284,32
38750,0,14,22,153,284,32
16590,0,24,24,206,284,32
47183,0,14,21,65,89,32
5943,0,24,1,10,220,32
13161,0,24,17,143,284,32
69160,0,14,17,206,284,32
59874,0,14,5,90,251,32
30428,0,14,34,69,122,32
27249,0,24,27,236,284,32
7893,0,14,21,42,369,32
18537,0,29,6,18,284,32
11689,0,7,32,157,237,32
40453,0,24,28,255,284,32
29851,0,29,10,184,284,32
2555,0,7,13,127,284,32
35536,0,24,33,139,284,32
41177,0,14,9,200,153,32
56134,0,13,27,236,391,32
50848,0,29,31,202,281,32
17219,0,29,17,143,284,32
41247,0,24,1,12,284,32
20580,0,13,17,143,284,32
47777,0,24,33,139,284,32
27778,0,24,13,127,284,32
43124,0,14,34,206,284,32
21151,0,7,12,256,26,32
22336,0,24,13,127,284,32
48818,0,14,21,65,89,32
23533,0,24,21,65,89,32
59896,0,29,22,113,284,32
9735,0,7,21,65,89,32
7936,0,14,21,65,89,32
21133,0,7,21,78,257,14
25450,0,23,33,245,284,32
37143,0,14,17,143,284,32
222,0,24,27,236,391,32
65126,0,14,12,219,291,32
61951,0,14,22,189,284,32
69191,0,14,33,139,284,32
21585,0,24,25,131,284,32
44133,0,14,13,127,284,32
59818,0,14,21,23,284,32
65292,0,7,14,250,284,32
52060,0,7,9,107,284,32
11936,0,14,21,65,89,32
13552,0,7,1,54,384,32
58618,0,14,21,166,368,32
20727,0,14,17,143,284,32
67989,0,7,21,166,156,32
65129,0,7,12,219,291,32
3434,0,24,25,206,284,32
42987,0,7,21,65,89,32
57060,0,14,13,127,284,32
6761,0,29,29,272,130,32
29949,0,7,27,236,391,32
17399,0,24,28,201,284,32
23924,0,7,13,112,284,32
32365,0,14,34,69,122,32
67142,0,14,9,200,284,32
30108,0,7,27,236,383,32
68934,0,14,13,206,284,32
59893,0,24,21,78,257,27
13274,0,29,27,206,284,32
13197,0,14,27,206,284,32
43326,0,29,21,65,89,32
35298,0,24,2,145,0,32
38028,0,24,17,143,284,32
48730,0,7,17,143,284,32
66331,0,14,26,106,284,32
58266,0,29,9,107,284,32
52933,0,29,30,71,284,32
51298,0,14,9,200,284,32
39323,0,14,21,166,368,32
152,0,14,1,12,284,32
55101,0,14,10,184,284,32
34806,0,24,13,127,284,32
49412,0,13,24,206,284,32
44518,0,24,2,145,3,32
16385,0,14,1,54,384,32
63087,0,14,21,65,89,32
4870,0,29,24,206,284,32
13821,0,14,34,69,284,32
58643,0,14,6,59,20,9
52449,0,14,5,90,121,32
60784,0,14,34,69,340,32
27322,0,14,21,65,89,32
48609,0,14,13,127,284,32
59673,0,24,21,65,89,32
5043,0,14,9,107,284,32
24461,0,24,1,206,284,32
18129,0,14,5,206,284,32
52755,0,7,17,143,284,32
32701,0,29,10,184,284,32
40772,0,7,21,65,89,32
62839,0,14,21,48,284,32
24911,0,7,1,54,131,32
15152,0,24,0,206,284,32
13631,0,29,24,206,284,32
23904,0,24,32,254,364,32
822,0,13,25,206,284,32
922,0,13,25,207,284,32
49897,0,14,13,127,284,32
4148,0,7,32,36,46,32
24548,0,13,22,44,53,32
